                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.3366,                0.93281,                0.90662,                0.43148,                0.33549,                0.33235,                0.19288,                 1.3337,                0.96348,                 0.9059,               0.002476,               0.002476,               0.002476
                     78,                 1.3378,                0.93709,                0.90653,                0.43446,                0.33347,                0.33195,                  0.192,                 1.3346,                0.96341,                0.90607,               0.002377,               0.002377,               0.002377
                     79,                 1.3353,                0.92676,                0.90699,                0.43707,                0.33408,                0.33175,                 0.1921,                 1.3341,                0.96185,                0.90667,               0.002278,               0.002278,               0.002278
                     80,                 1.3298,                0.92623,                0.90508,                0.44585,                0.33219,                0.33338,                0.19338,                 1.3334,                 0.9616,                0.90599,               0.002179,               0.002179,               0.002179
                     81,                 1.3342,                0.92945,                 0.9067,                0.44506,                0.32873,                0.33427,                0.19499,                   1.33,                0.96089,                0.90526,                0.00208,                0.00208,                0.00208
                     82,                  1.326,                0.92402,                0.90356,                 0.4395,                 0.3364,                0.33435,                0.19485,                 1.3296,                0.95881,                0.90479,               0.001981,               0.001981,               0.001981
                     83,                 1.3304,                0.92136,                0.90411,                0.44235,                0.33794,                 0.3344,                0.19507,                 1.3311,                0.95693,                0.90539,               0.001882,               0.001882,               0.001882
                     84,                 1.3271,                 0.9255,                0.90478,                0.44392,                0.33474,                0.33494,                0.19464,                 1.3295,                0.95851,                0.90512,               0.001783,               0.001783,               0.001783
                     85,                 1.3259,                0.91671,                0.90384,                0.44202,                0.34136,                0.33629,                0.19585,                 1.3312,                 0.9593,                0.90515,               0.001684,               0.001684,               0.001684
                     86,                 1.3187,                0.91623,                0.90452,                0.44145,                0.34146,                0.33683,                0.19618,                 1.3288,                0.95799,                0.90473,               0.001585,               0.001585,               0.001585
                     87,                 1.3183,                 0.9142,                0.90384,                0.44617,                0.33613,                0.33525,                0.19491,                 1.3295,                0.95809,                0.90509,               0.001486,               0.001486,               0.001486
                     88,                 1.3139,                0.90868,                0.90251,                0.44627,                0.33774,                0.33645,                0.19558,                   1.33,                0.95663,                 0.9053,               0.001387,               0.001387,               0.001387
                     89,                 1.3286,                0.91678,                0.90417,                0.44573,                0.33371,                0.33652,                0.19632,                 1.3292,                0.95487,                 0.9053,               0.001288,               0.001288,               0.001288
                     90,                 1.3178,                0.90971,                0.90288,                0.44253,                0.33596,                0.33628,                0.19595,                 1.3297,                0.95637,                0.90548,               0.001189,               0.001189,               0.001189
                     91,                 1.3035,                 0.8958,                0.90314,                0.44255,                0.33537,                0.33432,                0.19454,                 1.3307,                0.95831,                0.90523,                0.00109,                0.00109,                0.00109
                     92,                 1.2891,                  0.877,                0.90131,                0.44451,                0.33401,                0.33387,                0.19405,                 1.3323,                0.96032,                 0.9054,               0.000991,               0.000991,               0.000991
                     93,                 1.2856,                0.87274,                0.90085,                0.44693,                0.33234,                0.33398,                0.19438,                 1.3329,                0.96088,                0.90561,               0.000892,               0.000892,               0.000892
                     94,                 1.2849,                0.86826,                0.90159,                0.45105,                0.33333,                0.33424,                0.19457,                  1.333,                0.96032,                0.90557,               0.000793,               0.000793,               0.000793
                     95,                 1.2797,                 0.8643,                0.89822,                 0.4524,                0.33372,                0.33482,                0.19497,                  1.334,                0.95944,                0.90546,               0.000694,               0.000694,               0.000694
                     96,                 1.2752,                0.86131,                0.89776,                0.44178,                0.33581,                0.33396,                0.19449,                 1.3345,                0.95996,                0.90571,               0.000595,               0.000595,               0.000595
                     97,                 1.2739,                 0.8575,                0.89788,                0.44002,                0.33399,                0.33301,                0.19403,                 1.3343,                0.96049,                0.90563,               0.000496,               0.000496,               0.000496
                     98,                 1.2686,                0.85291,                0.89703,                0.44084,                0.33325,                0.33313,                0.19374,                 1.3333,                0.96031,                0.90542,               0.000397,               0.000397,               0.000397
                     99,                  1.267,                  0.852,                0.89584,                0.44381,                0.33286,                0.33346,                0.19393,                 1.3334,                0.96049,                0.90527,               0.000298,               0.000298,               0.000298
                    100,                 1.2666,                0.84791,                0.89545,                0.44276,                0.33366,                0.33326,                0.19383,                  1.334,                 0.9606,                 0.9053,               0.000199,               0.000199,               0.000199
